Title,Platform,Genre,ReleaseYear,Rating,Revenue,UnitsSold
IndieQuest Game 1,Switch,Action,2023,7.1,488106,74158
IndieQuest Game 2,Switch,Strategy,2018,8.4,86653,16622
IndieQuest Game 3,Switch,RPG,2019,8.0,75649,295254
IndieQuest Game 4,PC,Strategy,2021,6.9,1255779,146852
IndieQuest Game 5,Switch,RPG,2023,7.7,602738,82516
IndieQuest Game 6,PC,Puzzle,2018,6.4,222828,189208
IndieQuest Game 7,PlayStation,Strategy,2020,9.2,1550358,241870
IndieQuest Game 8,Mobile,Action,2021,6.3,634839,190600
IndieQuest Game 9,Mobile,RPG,2023,6.3,1406769,120484
IndieQuest Game 10,PlayStation,Action,2024,6.9,231815,200295
